bs_p,bs_r,bs_f
64.86,61.370000000000005,63.07000000000001
71.96000000000001,66.19,68.95
70.06,59.57,64.39
74.35000000000001,65.07,69.39999999999999
66.67999999999999,66.11,66.4
56.69,58.47,57.56
69.17999999999999,61.89,65.33
91.24,90.01,90.62
78.35,74.74,76.5
65.03999999999999,61.9,63.43
71.32,60.01,65.18
58.97,62.8,60.81999999999999
66.62,56.05,60.88
50.239999999999995,53.72,51.92
63.12,57.43000000000001,60.14000000000001
66.23,61.14000000000001,63.580000000000005
74.5,66.79,70.44
59.58,58.48,59.019999999999996
75.63,60.84,67.43
61.31999999999999,65.5,63.339999999999996
68.36,64.64999999999999,66.46
51.239999999999995,52.04,51.64
53.43,59.019999999999996,56.089999999999996
71.41999999999999,64.49000000000001,67.78
63.09,57.620000000000005,60.23
67.65,65.21000000000001,66.41
90.72,76.32,82.89999999999999
78.31,81.72,79.97999999999999
66.97999999999999,67.25999999999999,67.12
68.93,61.71,65.12
69.61,61.24000000000001,65.16
72.5,62.94,67.38
61.07,51.910000000000004,56.120000000000005
78.77,60.980000000000004,68.74
52.690000000000005,57.410000000000004,54.949999999999996
55.779999999999994,57.74,56.74
58.74,67.47999999999999,62.81
77.71000000000001,64.8,70.67
73.63,57.48,64.56
69.45,64.3,66.77
79.9,71.99,75.74
83.62,67.03,74.41
77.73,75.87,76.79
65.09,59.8,62.33
69.64,61.199999999999996,65.14
78.3,63.24999999999999,69.98
66.44,60.28,63.21
75.94,64.58,69.8
49.46,51.580000000000005,50.5
57.79,55.230000000000004,56.48
58.589999999999996,60.08,59.31999999999999
77.11,63.970000000000006,69.93
57.379999999999995,59.93000000000001,58.63
81.35,65.59,72.63
70.46,61.199999999999996,65.51
60.129999999999995,57.19,58.620000000000005
70.0,65.34,67.58999999999999
69.53,59.39,64.05999999999999
49.559999999999995,57.379999999999995,53.190000000000005
72.11,59.419999999999995,65.14999999999999
57.43000000000001,69.22,62.77
47.3,47.52,47.410000000000004
50.529999999999994,51.61,51.06
74.67,74.72999999999999,74.7
61.14000000000001,54.42,57.589999999999996
67.72,59.62,63.41
55.21,53.010000000000005,54.09
74.09,66.03,69.83
73.54,67.75999999999999,70.53
58.199999999999996,57.98,58.089999999999996
78.72,68.47,73.24000000000001
44.49,47.78,46.08
65.96,66.81,66.38
76.98,78.88,77.92
55.96,75.25,64.19
81.95,65.59,72.87
70.27,63.690000000000005,66.82000000000001
79.24,70.37,74.53999999999999
81.42,73.83999999999999,77.45
60.91,59.209999999999994,60.050000000000004
57.29,65.08,60.940000000000005
56.699999999999996,57.089999999999996,56.89999999999999
71.59,62.8,66.91
68.07,60.23,63.91
62.5,58.98,60.69
61.8,53.65,57.440000000000005
63.980000000000004,56.47,59.99
73.34,60.150000000000006,66.09
65.10000000000001,65.46,65.28
59.730000000000004,58.720000000000006,59.21999999999999
54.300000000000004,52.690000000000005,53.480000000000004
55.55,56.52,56.03
56.16,52.99,54.52
62.79,58.18,60.4
76.27000000000001,64.09,69.65
71.61999999999999,59.940000000000005,65.25999999999999
57.56,63.13999999999999,60.22
65.93,60.19,62.93
58.589999999999996,68.49,63.160000000000004
66.33,60.919999999999995,63.51
67.34,63.62,65.42999999999999
67.61,56.74,61.7
73.33,65.97,69.46
87.62,82.44,84.95
68.36,59.08,63.38
61.29,67.56,64.27000000000001
61.970000000000006,67.67999999999999,64.7
54.15,56.32,55.21
69.39999999999999,62.88,65.98
66.16,63.5,64.8
75.3,65.8,70.23
62.53999999999999,62.39,62.46000000000001
73.65,64.33,68.67
60.49,56.8,58.58
72.02,57.4,63.88
56.48,60.29,58.330000000000005
58.309999999999995,59.919999999999995,59.11
67.2,68.2,67.69
80.0,62.67,70.28
69.37,61.35,65.12
79.97999999999999,68.84,73.99
75.81,72.97,74.36
79.60000000000001,67.97999999999999,73.33
64.44,61.67,63.029999999999994
54.2,53.33,53.76
67.72,55.64,61.09
67.4,61.39,64.25
63.79,60.089999999999996,61.88
65.86,63.88,64.85
57.02,59.150000000000006,58.06
82.72,64.09,72.22
62.970000000000006,59.21999999999999,61.040000000000006
60.150000000000006,66.22,63.04
62.870000000000005,61.23,62.03999999999999
62.94,60.95,61.92999999999999
64.82,54.50000000000001,59.209999999999994
68.8,63.79,66.2
70.74000000000001,63.739999999999995,67.06
63.190000000000005,60.12,61.62
89.08,74.92999999999999,81.39
60.23,53.059999999999995,56.42
59.209999999999994,60.77,59.98
57.86,56.06,56.95
67.31,54.24,60.07
59.550000000000004,57.97,58.75
68.28,63.56,65.84
75.67,65.25,70.07
79.12,67.23,72.69
60.699999999999996,55.88999999999999,58.199999999999996
65.69,60.31999999999999,62.89
50.46000000000001,52.07000000000001,51.24999999999999
55.50000000000001,50.83,53.059999999999995
60.91,53.959999999999994,57.220000000000006
63.190000000000005,65.95,64.53999999999999
77.42999999999999,65.73,71.1
68.01,61.529999999999994,64.61
64.78,62.56,63.65
65.66,65.03,65.34
63.32,56.08,59.48
65.52,60.6,62.96000000000001
50.8,55.60000000000001,53.09
71.00999999999999,60.57,65.38000000000001
74.86,65.36999999999999,69.8
63.339999999999996,54.53,58.60999999999999
72.85000000000001,69.17999999999999,70.97
59.540000000000006,57.53,58.52
62.5,58.13,60.23
56.87,64.97,60.650000000000006
52.66,55.730000000000004,54.15
