bleu,p,bp,lr,rl,pl
0.0,,0.7716229467154109,0.7941176470588235,68,54
0.0,,1.0,1.2222222222222223,36,44
0.0,,0.04393693362340742,0.24242424242424243,66,16
0.0,,0.1184418290138037,0.3191489361702128,47,15
0.0,,1.0,1.853658536585366,41,76
0.0,,1.0,1.2295081967213115,61,75
0.0,,0.23851255385430237,0.410958904109589,73,30
0.0,,1.0,1.0588235294117647,17,18
0.1209,,0.9131007162822622,0.9166666666666666,24,22
0.0,,1.0,1.0819672131147542,61,66
0.0,,0.08406285583693755,0.2876712328767123,73,21
0.0,,0.9837401985812029,0.9838709677419355,62,61
0.0,,0.8314240008260071,0.8441558441558441,77,65
0.0,,1.0,1.0476190476190477,42,44
0.0,,0.015703900565128083,0.19402985074626866,67,13
0.0,,1.0,1.2542372881355932,59,74
0.0,,0.8088666471820897,0.825,40,33
0.0,,0.35780119152240514,0.4931506849315068,73,36
0.0,,0.04723445948418638,0.24675324675324675,77,19
0.0368,,1.0,1.8372093023255813,43,79
0.0,,1.0,1.1111111111111112,54,60
0.0,,1.0,2.814814814814815,27,76
0.0,,1.0,1.2954545454545454,44,57
0.0,,0.1666821344779465,0.3582089552238806,67,24
0.0,,0.42806302118317596,0.5409836065573771,61,33
0.0,,1.0,1.0140845070422535,71,72
0.2379,,0.4138080991773701,0.53125,32,17
0.233,,1.0,2.210526315789474,19,42
0.0889,,0.8125749118638209,0.828125,64,53
0.0,,0.2697270310257103,0.43283582089552236,67,29
0.0,,0.22313016014842982,0.4,60,24
0.0,,0.16529888822158656,0.35714285714285715,56,20
0.0,,0.7351414805916845,0.7647058823529411,68,52
0.0371,,0.14406365910145327,0.3404255319148936,47,16
0.0,,1.0,1.0,64,64
0.0,,0.46070378099896586,0.5633802816901409,71,40
0.0,,1.0,2.033333333333333,30,61
0.0,,0.033373269960326066,0.22727272727272727,66,15
0.0,,0.45667477944228846,0.5606060606060606,66,37
0.0,,0.3228928377083497,0.46938775510204084,49,23
0.0,,0.5488116360940264,0.625,32,20
0.0481,,0.1224564282529819,0.3225806451612903,31,10
0.1204,,1.0,1.0864197530864197,81,88
0.0,,1.0,1.0576923076923077,52,55
0.0,,0.971832875032981,0.9722222222222222,72,70
0.0,,0.01831563888873418,0.2,60,12
0.0,,0.5754335174031933,0.6440677966101694,59,38
0.0,,0.19691167520419406,0.38095238095238093,63,24
0.0,,1.0,1.2790697674418605,43,55
0.0,,1.0,1.0588235294117647,51,54
0.0,,1.0,1.4545454545454546,55,80
0.0,,0.09071795328941251,0.29411764705882354,68,20
0.0,,0.8711587695892689,0.8787878787878788,66,58
0.0171,,0.03710076657961781,0.2328767123287671,73,17
0.0,,0.09508907677188685,0.2982456140350877,57,17
0.0,,0.1353352832366127,0.3333333333333333,63,21
0.0,,0.3998496543448473,0.5217391304347826,69,36
0.0,,0.16403223629617636,0.3561643835616438,73,26
0.0,,1.0,1.2790697674418605,43,55
0.0,,0.06681134664285131,0.2698412698412698,63,17
0.0,,1.0,2.4347826086956523,23,56
0.0,,0.6892901195306848,0.7288135593220338,59,43
0.0,,1.0,1.2857142857142858,49,63
0.1113,,1.0,1.0945945945945945,74,81
0.0,,0.9083242631244284,0.9122807017543859,57,52
0.0,,1.0,1.0606060606060606,66,70
0.0,,1.0,1.4827586206896552,29,43
0.0,,0.1353352832366127,0.3333333333333333,75,25
0.0,,0.7855436050549208,0.8055555555555556,36,29
