r1_p,r1_r,r1_f,r2_p,r2_r,r2_f,rL_p,rL_r,rL_f
16.13,8.200000000000001,10.870000000000001,0.0,0.0,0.0,9.68,4.92,6.52
21.62,25.81,23.53,8.33,10.0,9.09,21.62,25.81,23.53
36.36,6.25,10.67,0.0,0.0,0.0,18.18,3.1199999999999997,5.33
40.0,15.0,21.82,14.29,5.13,7.55,33.33,12.5,18.18
13.56,25.0,17.580000000000002,3.45,6.45,4.49,10.17,18.75,13.19
6.9,6.78,6.84,1.7500000000000002,1.72,1.7399999999999998,6.9,6.78,6.84
40.739999999999995,15.28,22.220000000000002,0.0,0.0,0.0,25.929999999999996,9.719999999999999,14.14
57.14,66.67,61.53999999999999,23.080000000000002,27.27,25.0,57.14,66.67,61.53999999999999
35.0,26.919999999999998,30.43,5.26,4.0,4.55,25.0,19.23,21.740000000000002
10.530000000000001,10.71,10.620000000000001,0.0,0.0,0.0,8.77,8.93,8.85
55.559999999999995,14.29,22.73,11.76,2.9000000000000004,4.65,33.33,8.57,13.639999999999999
18.6,15.09,16.669999999999998,0.0,0.0,0.0,11.63,9.43,10.42
14.29,8.97,11.020000000000001,6.25,3.9,4.8,12.24,7.6899999999999995,9.45
8.33,5.71,6.78,0.0,0.0,0.0,4.17,2.86,3.39
14.29,3.2300000000000004,5.26,7.6899999999999995,1.6400000000000001,2.7,14.29,3.2300000000000004,5.26
16.220000000000002,24.490000000000002,19.509999999999998,0.0,0.0,0.0,12.16,18.37,14.63
25.81,22.86,24.240000000000002,6.67,5.88,6.25,25.81,22.86,24.240000000000002
23.53,11.76,15.690000000000001,3.0300000000000002,1.49,2.0,20.59,10.290000000000001,13.73
47.06,10.530000000000001,17.2,18.75,4.0,6.59,41.18,9.21,15.049999999999999
11.59,21.62,15.09,2.94,5.56,3.85,8.7,16.220000000000002,11.32
23.080000000000002,22.64,22.86,3.92,3.85,3.88,21.15,20.75,20.95
1.92,5.56,2.86,0.0,0.0,0.0,1.92,5.56,2.86
5.71,4.65,5.13,0.0,0.0,0.0,2.86,2.33,2.56
36.84,11.110000000000001,17.07,16.669999999999998,4.84,7.5,26.32,7.9399999999999995,12.2
4.08,3.2300000000000004,3.5999999999999996,0.0,0.0,0.0,2.04,1.6099999999999999,1.7999999999999998
20.34,16.900000000000002,18.459999999999997,6.9,5.71,6.25,16.950000000000003,14.08,15.379999999999999
69.23,31.03,42.86,58.330000000000005,25.0,35.0,69.23,31.03,42.86
32.35,73.33,44.9,24.240000000000002,57.14,34.04,29.409999999999997,66.67,40.82
30.43,24.14,26.919999999999998,6.67,5.26,5.88,23.91,18.970000000000002,21.15
