text_cli,gref_cli,grf_cli,ft_cli,grs_cli,ssr_cli,text_ari,gref_ari,grf_ari,ft_ari,grs_ari,ssr_ari,text_lwf,gref_lwf,grf_lwf,ft_lwf,grs_lwf,ssr_lwf,text_MATTR,gref_MATTR,grf_MATTR,ft_MATTR,grs_MATTR,ssr_MATTR,text_MTLD,gref_MTLD,grf_MTLD,ft_MTLD,grs_MTLD,ssr_MTLD,text_HDD,gref_HDD,grf_HDD,ft_HDD,grs_HDD,ssr_HDD,text_entropy,gref_entropy,grf_entropy,ft_entropy,grs_entropy,ssr_entropy,text_sent,gref_sent,grf_sent,ft_sent,grs_sent,ssr_sent,text_word,gref_word,grf_word,ft_word,grs_word,ssr_word,text_char,gref_char,grf_char,ft_char,grs_char,ssr_char,text_sdensity,gref_sdensity,grf_sdensity,ft_sdensity,grs_sdensity,ssr_sdensity,text_wdensity,gref_wdensity,grf_wdensity,ft_wdensity,grs_wdensity,ssr_wdensity
15.75,17.72,18.99,20.25,18.99,18.36,2277.0,108.0,57.1,23.1,57.1,56.0,65.0,74.0,75.0,24.5,75.0,79.0,98.88417763892039,98.29145728643215,96.84210526315789,98.18181818181819,96.84210526315789,97.8723404255319,72.01390190042827,126.34034154116924,105.54923076923076,33.23894736842106,105.54923076923076,34.61651637853464,96.99963795025293,97.93913622212169,96.61341872779062,97.53846153846223,96.61341872779062,94.76188404848102,4.29019764151679,4.211767501891556,4.2016135292422785,4.12138099088906,4.2016135292422785,4.15559892087196,162,11,6,3,6,5,5073,234,111,33,111,108,25484,1204,611,174,611,592,3.1933767001774096,4.700854700854701,5.405405405405405,9.090909090909092,5.405405405405405,4.62962962962963,19.90660806780725,19.435215946843854,18.16693944353519,18.96551724137931,18.16693944353519,18.243243243243242
13.9,21.66,22.24,17.42,22.24,15.86,1822.3,96.5,57.4,38.7,57.4,62.5,61.0,85.0,86.0,52.0,86.0,78.0,99.14965034965095,99.28994082840235,98.66666666666664,98.0,98.66666666666664,98.73873873873873,82.44990494740034,178.3004255319149,164.93866666666673,54.90909090909091,164.93866666666673,62.714105793450884,97.65236473422802,98.70757399923326,98.83401725215117,96.09726366749663,98.83401725215117,97.30769969546188,4.242522156407213,4.281383800072048,4.28284858693966,4.275893268686613,4.28284858693966,4.197849466257989,202,8,4,3,4,6,3997,200,108,72,108,126,19123,1154,635,382,635,645,5.053790342757067,4.0,3.7037037037037033,4.166666666666666,3.7037037037037033,4.761904761904762,20.90153218637243,17.33102253032929,17.00787401574803,18.848167539267017,17.00787401574803,19.53488372093023
20.1,17.49,16.67,24.23,16.67,15.46,1142.4,96.9,60.7,20.2,60.7,50.2,75.0,69.0,70.0,11.5,70.0,68.0,99.65163019204999,100.0,100.0,93.33333333333331,100.0,91.53846153846152,124.66351984414501,181.0,169.40000000000006,47.320000000000036,169.40000000000006,30.99617903930131,98.40469610113203,98.60430527478033,98.88413431120158,97.43589743589736,98.88413431120158,95.09700082124708,4.26325657215017,4.207198531122898,4.20667828280191,4.161480438996658,4.20667828280191,4.305052986098459,112,13,7,1,7,6,2488,203,121,15,121,104,14350,1070,634,97,634,509,4.501607717041801,6.403940886699508,5.785123966942149,6.666666666666667,5.785123966942149,5.769230769230769,17.337979094076655,18.97196261682243,19.085173501577287,15.463917525773196,19.085173501577287,20.43222003929273
14.36,19.0,16.09,20.14,16.09,18.53,183.2,137.4,62.7,25.1,62.7,62.1,64.0,71.0,73.0,26.5,73.0,81.0,99.33734939759037,99.29687500000001,99.09909909909909,97.77777777777779,99.09909909909909,99.0566037735849,145.99607072691552,132.0561869454236,65.14044730626544,33.635000000000005,65.14044730626544,44.07158901111559,98.08298324863081,98.29258762459791,97.25439786252976,95.05800095344142,97.25439786252976,96.88311401176989,4.4553404504252025,4.189445900947038,4.150443275802863,4.270747449406858,4.150443275802863,4.212880576485216,19,12,6,2,6,4,443,292,128,34,128,119,1979,1592,651,204,651,666,4.288939051918736,4.10958904109589,4.6875,5.88235294117647,4.6875,3.361344537815126,22.385042950985344,18.341708542713565,19.662058371735792,16.666666666666664,19.662058371735792,17.86786786786787
16.91,21.26,21.26,20.03,21.26,21.6,321.3,51.9,51.9,40.0,51.9,62.4,57.0,71.0,66.5,53.5,66.5,77.0,98.99676375404528,100.0,100.0,100.0,100.0,99.8019801980198,73.43055555555556,155.61538461538464,155.61538461538464,65.11750000000002,155.61538461538464,63.85109279936832,97.99828696555022,99.00369668878474,99.00369668878474,97.94553404042789,99.00369668878474,97.47198377277098,4.252021149509865,4.210247247442454,4.229164204228525,4.295796636891132,4.229164204228525,4.202812825146598,29,5,5,4,5,6,705,94,94,72,94,121,3651,556,556,401,556,698,4.113475177304964,5.319148936170213,5.319148936170213,5.555555555555555,5.319148936170213,4.958677685950414,19.309778142974526,16.906474820143885,16.906474820143885,17.955112219451372,16.906474820143885,17.335243553008596
16.97,20.8,21.26,24.79,21.26,20.04,2124.5,126.0,60.2,33.4,60.2,58.9,71.0,82.0,84.0,39.0,84.0,81.0,99.35330480266306,99.56140350877195,100.0,96.84210526315789,100.0,99.79381443298969,105.78558216476583,199.7777777777778,147.36842105263165,82.31999999999998,147.36842105263165,43.68794964028777,98.0542870475112,98.59818545961915,98.76834859217081,98.60627177700574,98.76834859217081,95.6414746881824,4.290906322218261,4.265978362563066,4.326073696526307,4.114280153734183,4.326073696526307,4.1325776588411145,165,12,6,2,6,5,4807,273,118,45,118,112,24690,1515,667,302,667,640,3.4324942791762014,4.395604395604396,5.084745762711865,4.444444444444445,5.084745762711865,4.464285714285714,19.469420818144997,18.019801980198018,17.691154422788603,14.90066225165563,17.691154422788603,17.5
13.14,17.67,16.09,16.9,16.09,18.47,2347.1,116.5,59.3,35.7,59.3,60.7,64.0,73.0,74.0,43.5,74.0,80.0,98.82954017649855,99.41463414634147,99.19191919191917,100.0,99.19191919191917,99.2079207920792,54.773827080836945,172.840830449827,141.45333333333332,56.0,141.45333333333332,35.1528384279476,97.21972650614147,98.65619989408742,98.31601138412388,96.95472242642245,98.31601138412388,95.83166189671391,4.4242447553322926,4.365327701686907,4.346051164015774,4.293053452625195,4.346051164015774,4.150918967126744,178,10,4,3,4,5,5523,254,122,67,122,118,24383,1304,613,347,613,649,3.222886112619953,3.937007874015748,3.278688524590164,4.477611940298507,3.278688524590164,4.23728813559322,22.651027355124473,19.478527607361965,19.9021207177814,19.30835734870317,19.9021207177814,18.181818181818183
14.48,20.5,20.5,27.05,20.5,15.98,2149.9,57.4,57.4,43.7,57.4,54.8,55.0,78.0,80.5,57.5,80.5,71.5,98.88327316486198,98.87640449438202,98.87640449438202,100.0,98.87640449438202,99.53488372093022,58.64238588475821,161.44800000000004,161.44800000000004,64.97866666666667,161.44800000000004,48.085940885845545,97.43428880756605,98.81633324311407,98.81633324311407,97.26778957915279,98.81633324311407,96.78664136112562,4.307972868744915,4.3078076607852305,4.330505142769701,4.21306344663959,4.330505142769701,4.3515407715212655,151,6,6,4,6,5,4844,110,110,63,110,114,23103,625,625,446,625,562,3.1172584640792733,5.454545454545454,5.454545454545454,6.349206349206349,5.454545454545454,4.385964912280701,20.966973986062413,17.599999999999998,17.599999999999998,14.125560538116591,17.599999999999998,20.284697508896798
20.86,19.63,18.99,26.22,18.99,18.57,914.6,84.9,59.0,24.6,59.0,19.6,80.0,72.0,76.0,22.0,76.0,21.5,99.58911715713484,98.38926174496642,97.95918367346937,95.00000000000001,97.95918367346937,98.94736842105264,154.74180148249775,153.0,121.37999999999998,28.000000000000007,121.37999999999998,37.03,98.33246917999776,98.23012600965569,98.36391922505882,93.3126934984521,98.36391922505882,96.16036137775292,4.264257746179681,4.2441164406733245,4.288639122031205,4.1072356620230215,4.288639122031205,3.9419514482089473,78,8,6,1,6,2,2052,178,121,23,121,26,11730,968,636,153,636,144,3.8011695906432745,4.49438202247191,4.958677685950414,4.3478260869565215,4.958677685950414,7.6923076923076925,17.493606138107417,18.388429752066116,19.025157232704405,15.032679738562091,19.025157232704405,18.055555555555554
15.11,18.19,17.2,22.11,17.2,19.92,1792.4,110.0,62.0,24.1,62.0,58.7,65.0,70.0,73.0,23.5,73.0,82.0,98.20677570093487,99.79899497487436,99.6153846153846,100.0,99.6153846153846,99.16666666666667,68.96531030343584,187.2879256965944,148.45090909090908,40.82399999999999,148.45090909090908,72.95298879202988,97.6782962452414,98.61049885316388,98.70704866429011,96.14814814814756,98.70704866429011,97.13642446981879,4.443604664797303,4.282996509655602,4.296165308416376,4.216832489986035,4.296165308416376,4.180505569916413,167,10,6,2,6,5,4276,242,132,29,132,118,19995,1243,658,184,658,639,3.9055191768007487,4.132231404958678,4.545454545454546,6.896551724137931,4.545454545454546,4.23728813559322,21.385346336584146,19.469026548672566,20.060790273556233,15.760869565217392,20.060790273556233,18.466353677621285
